X	2ГГц	3ГГц	4ГГц	5ГГц	6ГГц	7ГГц	8ГГц	9ГГц	10ГГц	11ГГц	12ГГц	13ГГц	14ГГц	15ГГц	16ГГц	17ГГц	18ГГц
-45.03	-48.76	-51.29	-45.68	-48.99	-47.2	-46.47	-45.8	-48.17	-57.45	-59.22	-52.54	-52.57	-58.83	-67.69	-63.87	-57.52	-49.55
-43.96	-48.71	-51.48	-45.76	-49.22	-47.14	-46.48	-45.63	-48.22	-56.95	-59.15	-53.08	-52.42	-58.62	-67.13	-66.87	-58.42	-49.03
-42.84	-48.38	-51.45	-45.73	-49.32	-47.02	-46.57	-45.72	-48.04	-57.09	-59.2	-53.02	-51.94	-58.01	-65.54	-67.09	-58.65	-48.86
-41.65	-48.27	-51.72	-45.92	-49.22	-46.96	-46.66	-45.77	-48.33	-56.77	-59	-53.13	-51.89	-57.97	-65.21	-69.86	-57.52	-48.87
-40.49	-48.29	-52.23	-45.87	-49.29	-47.09	-46.8	-45.45	-48.56	-56.64	-59.54	-53.3	-51.83	-57.63	-63.8	-72.37	-58.02	-48.85
-39.35	-48.05	-52.31	-45.97	-49.71	-47.25	-46.73	-45.47	-48.67	-56.27	-60.14	-53.29	-51.78	-57.19	-63.14	-75.47	-58.06	-48.56
-38.18	-48	-52.63	-46.15	-49.77	-47.21	-47.12	-45.57	-48.86	-56.04	-61.48	-53.69	-51.79	-57.33	-63.37	-75.62	-57.78	-48.93
-37	-48.22	-52.71	-46.16	-49.95	-47.31	-47.08	-45.62	-48.83	-55.78	-61.21	-53.49	-52.06	-57.12	-63.62	-92.24	-57.4	-48.88
-35.83	-47.92	-53.29	-46.48	-50.36	-47.33	-47.12	-45.74	-48.9	-56.73	-60.97	-53.88	-52.36	-56.72	-65.1	-75.11	-57.6	-49.37
-34.69	-47.96	-53.5	-46.71	-50.38	-47.41	-47.28	-45.72	-49.3	-55.68	-60.32	-54.05	-52.6	-56.25	-65.05	-72.11	-58.54	-49.99
-33.53	-48.06	-53.73	-46.82	-50.77	-47.48	-47.65	-45.81	-49.34	-55.57	-59.67	-54.48	-52.45	-57.11	-67.02	-70.72	-58.01	-50.51
-32.34	-47.89	-53.39	-46.87	-51.29	-47.85	-47.58	-46.14	-49.44	-56.16	-59.2	-54.16	-53.13	-56.4	-68.49	-65.61	-59.08	-51.06
-31.21	-47.9	-53.98	-47	-51.63	-48	-47.67	-46.04	-49.78	-56.4	-58.83	-55.31	-53.68	-57.1	-68.94	-65.19	-59.17	-52.46
-30.03	-47.87	-53.58	-47.16	-51.99	-48.11	-47.85	-46.42	-49.84	-56.38	-57.8	-54.75	-53.89	-57.34	-68.81	-63.84	-59.78	-52.52
-28.87	-48.03	-53.78	-47.26	-52.48	-48.36	-47.96	-46.56	-49.96	-57.08	-57.22	-55.01	-54.13	-57.92	-68.48	-62.62	-59.96	-53.35
-27.69	-48.08	-53.63	-47.24	-52.8	-48.42	-47.94	-46.71	-49.81	-57.42	-56.89	-55.94	-54.75	-58.29	-69.5	-61.29	-62.42	-54.49
-26.53	-48	-53.53	-47.43	-52.7	-48.67	-48.25	-46.85	-50.39	-57.18	-55.82	-56.36	-55.04	-58.54	-69.05	-62.71	-61.53	-56.28
-25.34	-47.87	-53.67	-47.63	-52.96	-48.63	-48.06	-47.16	-50.5	-57.1	-54.86	-56.56	-55.19	-60.03	-68.97	-61.2	-62.5	-56.36
-24.18	-47.99	-53.54	-47.59	-53.04	-48.75	-48.05	-47.42	-50.67	-57.81	-54.65	-56.95	-56.15	-60.76	-64.58	-61.24	-63.12	-57.44
-23.01	-48.01	-53.12	-47.78	-53.47	-48.95	-48.44	-47.7	-50.31	-57.91	-54.38	-57.11	-56.78	-61.21	-65.01	-61.37	-61.25	-59.3
-21.84	-48.09	-52.77	-47.74	-53.37	-49.13	-48.55	-48.03	-50.53	-58.89	-54.72	-57.92	-57.59	-61.01	-65.53	-60.94	-61.76	-64.03
-20.66	-48.16	-52.67	-47.83	-53.49	-49.45	-48.84	-48.53	-50.98	-57.83	-54.44	-58.8	-57.29	-61.84	-65.33	-59.15	-60.37	-66.9
-19.49	-48.15	-52.5	-47.69	-53.1	-49.54	-48.72	-48.8	-50.99	-57.13	-54.64	-58.3	-58.08	-62.91	-62.76	-59.17	-60.42	-65.84
-18.33	-48.14	-52.43	-47.86	-53.24	-49.92	-48.96	-48.83	-51.36	-56.97	-54.66	-59.78	-58.12	-63.18	-63.1	-58.42	-60.81	-65.58
-17.17	-48.11	-52.18	-47.89	-53.33	-49.96	-49.3	-48.92	-51.52	-57.62	-55.3	-60.47	-58.36	-62.52	-62.48	-57.62	-60.4	-64.94
-15.97	-48.1	-51.98	-47.82	-53.28	-50.45	-49.84	-49.44	-51.48	-56.77	-55.27	-61.54	-59.14	-65.53	-63.35	-57.08	-63.68	-64.33
-14.82	-48.14	-51.74	-47.83	-52.93	-50.44	-50.18	-49.42	-52.04	-56.26	-55.33	-62.07	-59.71	-66.56	-62.41	-57.49	-62.9	-60.79
-13.66	-48.05	-51.48	-47.78	-52.95	-51.03	-50.38	-49.93	-52.23	-56.45	-55.13	-60.75	-60.52	-65.76	-64.07	-57.89	-63.29	-60.64
-12.48	-48.25	-51.47	-48.07	-53.24	-51.03	-51.14	-49.9	-52.22	-57.23	-54.9	-61.71	-60.59	-65.08	-63.41	-57.72	-63.96	-61.86
-11.33	-48.23	-51.28	-48.04	-53.16	-51.46	-52.07	-50.24	-52.13	-56.29	-54.09	-62.51	-62.75	-67.39	-62.4	-58.75	-63.29	-61.87
-10.14	-48.43	-51.29	-48.03	-53.3	-51.92	-52.45	-50.52	-52.12	-55.29	-53.68	-61.91	-62.78	-67.17	-64.47	-58.59	-62.78	-61.96
-8.98	-48.15	-51.41	-48.18	-53.89	-52.32	-53.52	-51.15	-52.13	-56.17	-53.98	-62.99	-63.35	-67.18	-64.1	-59.42	-63.09	-60.01
-7.81	-48.52	-51.26	-48.29	-54.17	-52.66	-53.91	-51.01	-52.43	-55.89	-54.09	-63.4	-62.76	-67.86	-66.04	-60.87	-63.84	-59.68
-6.63	-48.53	-51.49	-48.64	-54.61	-52.66	-54.16	-50.96	-52.09	-55.9	-54.24	-64.39	-63.14	-69.33	-65.36	-60.81	-62.87	-58
-5.45	-48.38	-51.51	-48.7	-55	-53.23	-54.68	-51.54	-52.11	-55.88	-54.52	-65.58	-63.13	-70.05	-67.88	-60.37	-63.11	-57.98
-4.29	-49.08	-51.59	-49.06	-55.25	-54	-55.03	-51.79	-52.49	-56.21	-55.33	-66.37	-62.85	-70.95	-66.03	-60.29	-63.37	-57.19
-3.09	-48.99	-51.84	-49.44	-56.65	-54.38	-55.09	-51.77	-52.47	-56.19	-55.35	-67.23	-64.16	-68.89	-68.41	-61.85	-63.05	-56.97
-1.95	-48.95	-51.94	-49.88	-57.03	-54.89	-55.61	-52.07	-52.69	-56.06	-55.98	-67.41	-65.48	-73.99	-71.12	-63.14	-64.14	-57.59
-0.78	-49.13	-52.54	-50.07	-57.87	-55.53	-56.36	-52.48	-52.83	-56.55	-56.8	-71.15	-65.32	-76.03	-70.49	-63.23	-67.72	-57.45
0.39	-49.31	-52.8	-50.44	-58.21	-56.25	-56.71	-52.81	-53.47	-56.77	-56.24	-68.68	-65.43	-73.16	-73.28	-65.76	-66.06	-57.29
1.57	-49.29	-53.17	-50.82	-58.59	-57.53	-57.11	-53.46	-53.53	-56.34	-56.62	-70.02	-65.08	-73.35	-73.06	-64.81	-65.57	-57.47
2.75	-49.68	-53.24	-51.28	-58.42	-57.99	-57.69	-53.66	-53.87	-55.41	-56.98	-72.32	-65.65	-72.62	-74.01	-64.96	-63.06	-56.91
3.91	-50.14	-53.61	-51.89	-58.49	-58.09	-59.1	-54.78	-54.09	-54.53	-56.72	-74.49	-66.11	-69.23	-83.18	-65.14	-63.51	-59.19
5.08	-50.2	-54.35	-52.11	-57.92	-58.95	-60.12	-54.72	-54.6	-54.5	-57.41	-71.41	-66.28	-74.13	-87.8	-64.1	-62.6	-58.43
6.29	-50.53	-54.83	-52.69	-57.7	-59.6	-61.75	-54.82	-55.16	-54.65	-58.21	-73.65	-66.22	-70.51	-81.85	-66.3	-61.75	-62.49
7.45	-50.71	-55.1	-53.47	-57.16	-60.3	-64.11	-55.69	-55.04	-55.06	-58.72	-73.7	-63.52	-74.57	-81.63	-66.81	-62.11	-63.36
8.63	-50.95	-55.2	-53.81	-56.78	-60.66	-64.22	-56.37	-55.1	-56.23	-58.55	-71.11	-63.71	-72.72	-81.58	-70.03	-63.64	-61.64
9.81	-51.68	-55.7	-54.21	-56.48	-61.56	-66.97	-56.54	-55.27	-56.42	-59.55	-74.07	-64.24	-71.42	-82.58	-70.68	-63.43	-61.19
10.99	-51.53	-55.95	-54.57	-56.16	-62.58	-65.43	-58.57	-55.27	-56.49	-58.56	-74.83	-64.71	-72.02	-72.88	-72.97	-63.86	-63.73
12.2	-52.06	-56.35	-55.14	-56.23	-63.8	-69.94	-59.2	-54.9	-57.54	-58.51	-72.48	-67.04	-72.36	-82.93	-81.96	-63.53	-62.48
13.36	-52.63	-57.52	-55.86	-55.84	-63.97	-67.2	-60.03	-55.08	-56.93	-58.37	-73.03	-69.08	-76.37	-88.81	-74.41	-66.83	-63.57
14.53	-52.96	-57.78	-55.5	-56.1	-66	-68.5	-60.12	-55.47	-57.72	-57.87	-76.13	-69.02	-73.26	-86.05	-69.87	-67.93	-65.45
15.74	-53.75	-57.61	-56.19	-56.22	-68.01	-67.43	-60.19	-55.56	-57.14	-57.77	-72.59	-70.29	-81.24	-77.95	-71.7	-77.72	-66.48
16.9	-53.94	-57.83	-56.61	-56.32	-69.64	-65.99	-60.84	-56.48	-57.25	-58.17	-85.69	-69.77	-77.17	-82.91	-66.64	-67.23	-67.35
18.07	-55.21	-57.86	-57.16	-56.03	-72.49	-64.38	-62.03	-57.25	-57.79	-57.89	-75.86	-68.1	-76.87	-78.87	-65.98	-69.53	-65.73
19.25	-55.76	-58.02	-58.01	-56.24	-69.51	-63.91	-61.81	-57.44	-57.01	-57.99	-94.24	-71.08	-80.84	-78.6	-65.8	-67.59	-69.14
20.43	-56.63	-57.93	-57.74	-56.64	-69.57	-62.11	-62.12	-58.06	-57.82	-59.13	-81.13	-70.71	-74.99	-76.24	-66.72	-68.88	-76.55
21.61	-57.58	-57.82	-58.2	-56.29	-66.18	-61.96	-63.07	-58.46	-58.78	-59.82	-74.62	-70.71	-74.56	-79.21	-67.3	-68.56	-75.67
22.79	-58.31	-58.01	-59.09	-56.68	-64.95	-60.39	-62.18	-58.73	-58.56	-60.18	-78.9	-70.8	-76.84	-80.93	-65.88	-72.39	-69.65
23.97	-59.79	-58.36	-60.25	-57.07	-62.99	-60.97	-63.23	-59.57	-59.91	-58.86	-77.61	-71.21	-80.74	-73.94	-65.91	-76.03	-62.17
25.14	-60.93	-58.37	-58.91	-57.55	-61.96	-59.59	-63.07	-59.08	-60.87	-59.22	-74.49	-72.91	-76.79	-69.29	-65.41	-73.72	-63.13
26.3	-62.99	-58.04	-59.3	-57.36	-60.81	-59.98	-62.56	-59.87	-61.88	-59.78	-71.89	-70.44	-76.93	-71.95	-65.35	-67.27	-62.62
27.46	-64.21	-58.25	-59.57	-58.01	-60.49	-60.63	-62.35	-60.04	-63.55	-60.12	-72.15	-69.59	-85.7	-72.81	-67.61	-67.74	-64.2
28.68	-66.04	-58.06	-58.92	-58.08	-59.21	-61.11	-62.1	-61.02	-63.77	-59.86	-72.99	-69.12	-90.87	-78.37	-69.28	-67.26	-68.24
29.85	-69.42	-58.21	-58.68	-59.46	-59.09	-62.34	-61.64	-62.11	-64.64	-61.13	-79.94	-67.46	-82.48	-74.03	-72.17	-69.94	-69.71
31.02	-69.98	-58.8	-57.87	-60.43	-59.11	-62.65	-61.83	-62.49	-64.56	-63.26	-80.57	-67.85	-77.52	-72.76	-73.39	-68.77	-76.78
32.2	-72.19	-58.68	-57.58	-62.42	-58.87	-63.92	-60.66	-63.86	-63.55	-65	-78.64	-68.81	-76.17	-73.57	-72.56	-67.89	-76.29
33.42	-72.3	-57.92	-57.67	-63.56	-59.22	-64.99	-60.08	-64.49	-64.16	-66.46	-74.07	-69.1	-73.06	-74.29	-69.67	-73.04	-69.55
34.56	-69.51	-57.71	-57.36	-65.15	-59.21	-66.86	-60.12	-67.13	-63.33	-68.89	-78.93	-70.05	-71.96	-77.3	-71.7	-85.43	-73.82
