X	2ГГц	3ГГц	4ГГц	5ГГц	6ГГц	7ГГц	8ГГц	9ГГц	10ГГц	11ГГц	12ГГц	13ГГц	14ГГц	15ГГц	16ГГц	17ГГц	18ГГц	
-45.03	-54.38	-62.92	-59.33	-65.29	-68.02	-61.07	-66.55	-63.82	-64.38	-62.28	-72.02	-73.27	-73.44	-95.85	-75.62	-71.93	-72.8
-43.83	-55.02	-62.89	-58.44	-63.35	-65.45	-61.13	-65.12	-61.74	-63.56	-62.94	-73.29	-71.74	-76.95	-81.12	-73.33	-78.51	-81.72
-42.68	-54.9	-62.4	-57.55	-60.76	-65.32	-59.9	-63.16	-61.32	-63	-61.99	-72.91	-68.18	-92.38	-78.37	-71.14	-71.11	-74.43
-41.48	-55.57	-61.75	-56.69	-59.98	-64.07	-61.19	-64.38	-61.51	-62.62	-62.98	-72.78	-68.35	-79.23	-83.58	-86.04	-74.53	-86.5
-40.34	-55.75	-60.71	-56	-58.4	-62.86	-59.41	-62.31	-61.03	-62.4	-64.73	-72.33	-70.99	-83.19	-81.23	-75.64	-78.84	-73.61
-39.17	-56.17	-59.28	-55.09	-57.79	-61.67	-58.95	-63.72	-62.18	-65.85	-67.96	-71.29	-70.45	-75.55	-87.02	-75.34	-83.81	-74.15
-38.01	-56.71	-59.34	-54.08	-56.67	-61.53	-58.53	-61.95	-62.72	-66.85	-67.5	-71.38	-70.02	-77.2	-77.8	-79.92	-82.2	-75.75
-36.85	-57.21	-58.2	-53.69	-55.86	-61.17	-58.28	-62.56	-62.9	-66	-66.53	-69.4	-72.13	-75.03	-87.23	-80.23	-81.38	-66.79
-35.68	-57.18	-58.26	-52.83	-54.89	-61.26	-58.57	-61.83	-63.33	-66.87	-64.97	-67.8	-74.95	-74.98	-76.23	-76.26	-70.61	-68.35
-34.53	-57.4	-57.2	-52.53	-53.98	-60.76	-58.85	-61.24	-63.79	-71.13	-62.95	-69.39	-81.26	-75.68	-78.93	-71.4	-70.11	-65.69
-33.37	-57.98	-57.11	-51.83	-53.57	-60.96	-59.35	-60.75	-65.01	-70.92	-64.41	-73.2	-75.86	-72.83	-81.34	-71.8	-67.04	-68.3
-32.21	-58.88	-56.14	-51.41	-53.02	-61.7	-60.09	-61.59	-65.29	-74.92	-63.27	-78.93	-72.94	-73.79	-80.68	-74.97	-69.11	-69.2
-31.05	-58.64	-55.66	-51.02	-52.78	-61.49	-60.84	-61.01	-65.48	-74.22	-64.24	-71.61	-71.78	-72.77	-76.34	-71.02	-69.73	-72.22
-29.88	-58.31	-55.58	-50.89	-52.26	-61.21	-61.59	-61.79	-65.67	-66.1	-63.31	-73.55	-69.2	-70.52	-81.11	-68.42	-70.63	-77.99
-28.72	-58.21	-55.46	-50.75	-51.94	-62.42	-63.75	-61.25	-63.73	-68.28	-63.3	-75.3	-71.87	-73	-79	-70.12	-75.84	-69.79
-27.55	-58.27	-54.64	-50.45	-52.01	-61.7	-64.47	-60.85	-63.31	-62.16	-63.47	-73.37	-69.17	-70.25	-75.06	-76.16	-68.3	-70.61
-26.39	-57.56	-54.51	-50.48	-52.18	-61.95	-65.19	-61.36	-62.86	-62.94	-63.19	-71.79	-69.02	-68.72	-76.99	-70.65	-68.38	-68.35
-25.23	-57.29	-54.14	-50.34	-52.43	-62.03	-66.33	-60.06	-61.97	-62.3	-62.84	-72.11	-68.26	-70.66	-69.55	-71.7	-66.72	-67.45
-24.06	-57.24	-54.08	-50.4	-52.57	-62.33	-65.48	-59.11	-60.36	-59.93	-61.9	-69.25	-67.51	-67.98	-70.97	-75.6	-67.93	-66.1
-22.87	-56.47	-53.44	-50.38	-53.05	-61.79	-63.89	-57.61	-58.83	-61.58	-61.43	-71.07	-65.9	-67.47	-71.54	-69.83	-67.2	-65.19
-21.74	-55.95	-53.39	-50.25	-53.66	-62.35	-61.25	-56.61	-58.41	-60.99	-61.91	-69.32	-64.67	-68.43	-72.92	-69.27	-66.7	-62.89
-20.57	-55.11	-53.14	-50.56	-54	-60.89	-59.81	-56.05	-57.34	-60.83	-61.9	-65.68	-65.54	-69.36	-71.61	-65.82	-66.48	-64.3
-19.41	-54.51	-53.01	-50.76	-54.88	-59.86	-59.47	-55.69	-57.69	-60.99	-60.15	-65.06	-66.92	-66.37	-70.6	-66.26	-66.99	-61.27
-18.24	-53.91	-53.09	-50.75	-55.7	-58.72	-58.99	-55.29	-57.48	-60.28	-59.6	-65.38	-65.9	-69.55	-74.63	-67.71	-65.25	-60.6
-17.08	-53.88	-53.28	-51.21	-56.4	-57.93	-58.98	-55.15	-57.41	-59.74	-58.65	-64.59	-65.44	-67.58	-73.67	-66.2	-65.36	-62.6
-15.9	-53.14	-53.16	-51.43	-56.87	-57.04	-58	-55.24	-57.13	-59.57	-58.04	-64.27	-65.48	-65.77	-71.65	-67.08	-65.25	-61.41
-14.73	-52.88	-52.94	-51.76	-56.67	-55.88	-57.62	-55.29	-57.4	-58.19	-57.66	-63.35	-64.55	-65.61	-71.61	-66.48	-65.42	-62.63
-13.53	-52.55	-53.15	-52.14	-56.65	-55.51	-57.61	-55.38	-57.13	-57.16	-56.62	-63.57	-66.26	-66.27	-70.77	-64.08	-63.27	-61.01
-12.38	-52.14	-53.15	-52.6	-56.56	-55.12	-57.71	-56.47	-57.27	-57.36	-56.68	-62.12	-66.49	-65.92	-71.4	-65.45	-63.76	-60.53
-11.18	-51.58	-53.01	-53.27	-55.63	-54.46	-58.12	-55.62	-56.17	-56.41	-55.92	-62.84	-65	-65.57	-67.11	-63.32	-65.07	-59.85
-10.05	-51.61	-53.32	-53.83	-54.73	-54.54	-57.63	-56.46	-55.97	-55.99	-55.76	-62.78	-65.2	-64.83	-70.58	-62.64	-63.95	-59.91
-8.87	-51.72	-53.09	-54.11	-53.85	-53.83	-57.55	-55.8	-55.77	-56.33	-55.18	-61.82	-64.12	-65.1	-68.55	-64.13	-61.99	-58.62
-7.7	-51.73	-52.96	-54.84	-52.67	-53.65	-57.71	-56.19	-55.35	-55.44	-54.72	-61.65	-62.79	-64.06	-68.13	-63.1	-62.51	-59.13
-6.53	-51.62	-53.15	-55.14	-51.95	-53.67	-57.24	-55.31	-54.67	-56.07	-54.49	-60.96	-63.96	-63.6	-68.76	-64.63	-61.64	-58.88
-5.33	-51.02	-53.08	-55.06	-51.4	-53.53	-56.51	-54.97	-54.25	-56.42	-54.32	-60.69	-61.99	-63.4	-66.03	-63.7	-61.31	-58.21
-4.19	-51.29	-53.33	-55.22	-50.72	-53.37	-55.77	-54.54	-54.35	-56.95	-54.23	-58.98	-62.09	-65.04	-66.57	-63.15	-61.17	-59.09
-3.03	-51.07	-53.38	-55.56	-50.13	-53.45	-55	-53.96	-54.59	-56.8	-54.24	-58.89	-61.96	-63.42	-66.08	-64.61	-61.34	-57.87
-1.84	-50.68	-53.07	-55.35	-49.73	-53.53	-54.4	-53.12	-54.14	-56.71	-54.1	-57.87	-61.01	-62.77	-64.44	-63.5	-60.2	-57.42
-0.67	-50.7	-53.52	-54.32	-49.52	-53.24	-53.92	-52.57	-54.22	-56.9	-54.08	-56.51	-60.99	-61.77	-64.61	-62.18	-60.66	-57.03
0.49	-50.52	-53.3	-54.02	-49.03	-53.28	-53.23	-52.07	-54.28	-56.08	-53.08	-56.75	-60.64	-62.42	-64.32	-62.87	-60.44	-56.08
1.67	-50.54	-53.53	-53.28	-48.88	-53.31	-53.15	-51.7	-53.88	-55.74	-53.38	-57.15	-59.88	-62.44	-66.12	-61.92	-60.04	-56.66
2.83	-50.42	-53.58	-52.28	-48.58	-52.92	-52.82	-51.31	-53.84	-54.71	-52.96	-57.22	-59.82	-61.39	-65.11	-62.36	-59.59	-56.97
3.99	-50.4	-53.26	-51.55	-48.66	-52.17	-52.59	-51.32	-53.5	-53.73	-52.91	-57.19	-58.68	-63.21	-63.16	-61.87	-60.32	-57.04
5.19	-50.3	-52.99	-50.62	-48.55	-52.14	-52.34	-51.28	-52.83	-53.13	-52.71	-56.72	-59.42	-62.2	-63.3	-61.06	-58.2	-57.01
6.35	-50.37	-52.88	-49.82	-48.54	-51.31	-52.5	-51.08	-52.69	-52.64	-53.15	-56.14	-59.49	-62.71	-63.74	-63.28	-60.03	-56.61
7.53	-50.15	-52.59	-49.24	-48.53	-51.02	-52.37	-51.18	-52.24	-52.36	-52.93	-56.33	-59.34	-63.4	-62.36	-61.36	-59.01	-55.56
8.73	-49.83	-52.63	-48.77	-48.72	-50.49	-52.05	-51.3	-51.86	-51.99	-53.33	-56.85	-60.27	-63.39	-63.39	-61.12	-59.25	-55.95
9.89	-49.77	-52.43	-48.23	-48.86	-50.07	-52.05	-51.18	-51.47	-52.21	-53.17	-56.37	-60.22	-62.33	-62.52	-61.39	-58.77	-56.04
11.05	-49.68	-52.2	-47.62	-48.93	-49.38	-52.23	-50.97	-50.86	-52.05	-53.76	-56.13	-59.5	-63.68	-62.41	-60.97	-58.89	-55.45
12.22	-49.62	-51.88	-47.16	-48.98	-48.86	-51.83	-50.64	-50.85	-51.58	-53.57	-55.95	-59.2	-62.62	-62.71	-60.77	-59.37	-55.43
13.39	-49.47	-51.63	-46.89	-48.87	-48.45	-51.42	-50.33	-50.62	-51.22	-53.34	-56.3	-58.86	-61.9	-62.65	-59.85	-58.33	-55.47
14.59	-49.16	-51.45	-46.49	-49.12	-48.14	-51.64	-50.14	-50.49	-51.61	-53.24	-55.47	-59.37	-62.62	-62.25	-60.26	-59.16	-55.03
15.75	-49.25	-51.06	-46.15	-48.7	-47.78	-51.33	-49.8	-50.43	-51.54	-53.33	-54.93	-58.35	-61.29	-61.57	-60.25	-58.41	-54.67
16.92	-49.09	-51.16	-46	-48.74	-47.63	-51.11	-49.7	-50.53	-51.65	-52.76	-55.11	-58.05	-62.18	-62.36	-59.98	-57.61	-54.78
18.1	-48.9	-50.66	-45.66	-48.74	-47.62	-50.82	-49.3	-50.42	-50.98	-53.31	-54.77	-57.93	-61.41	-62.45	-59.15	-57.76	-54.07
19.28	-49.23	-50.27	-45.64	-48.61	-47.1	-50.42	-49	-50.4	-51.22	-52.99	-55	-57.26	-60.72	-62.11	-59.23	-57	-54.04
20.46	-49.02	-50.22	-45.39	-48.52	-47.23	-50.27	-48.92	-50.61	-51.06	-52.82	-54.45	-57.24	-61.02	-62.26	-59.47	-57.18	-54.52
21.64	-49.14	-50.12	-45.13	-48.44	-47.04	-49.75	-48.6	-50.43	-50.45	-52.65	-54.29	-57.07	-59.96	-63.07	-58.63	-58.44	-55.17
22.81	-48.84	-50.06	-45.02	-48.35	-47.01	-49.7	-48.44	-50.59	-50.6	-52.68	-54.05	-57.1	-61.31	-63.97	-59.26	-57.43	-54.67
23.99	-48.66	-50.11	-44.91	-48.25	-46.88	-49.16	-48.3	-50.43	-50.26	-52.54	-54.27	-57.11	-60.66	-62.44	-59.53	-57.78	-53.85
25.16	-48.63	-49.9	-44.8	-47.9	-47.05	-48.91	-48.3	-50.19	-49.95	-52.68	-54.59	-57.26	-61.79	-62.98	-59.2	-57.43	-53.61
26.33	-48.74	-49.88	-44.63	-47.77	-47.07	-48.68	-48	-50.06	-50.06	-52.93	-54.23	-56.98	-61.95	-63.33	-59.63	-56.55	-53.66
27.52	-48.6	-49.86	-44.69	-47.67	-47	-48.43	-48.07	-49.66	-49.62	-52.77	-53.86	-57.56	-61.86	-62.74	-59.48	-57.28	-53.77
28.7	-48.47	-50.11	-44.63	-47.56	-46.97	-48.1	-48.26	-49.33	-49.75	-52.35	-53.97	-57.23	-60.81	-63.78	-59.21	-57.66	-54.16
29.87	-48.56	-50	-44.56	-47.54	-47.02	-48.29	-48.25	-49.08	-49.92	-52.78	-53.86	-57.27	-62.39	-63.36	-60.09	-56.51	-53.68
31.07	-48.46	-50.06	-44.59	-47.5	-46.97	-47.99	-48.32	-49.21	-49.46	-52.58	-53.91	-57.59	-61.21	-62.66	-59.02	-57.18	-53.48
32.27	-48.19	-50.18	-44.63	-47.35	-46.95	-48.07	-48.24	-48.94	-49.56	-52.9	-54.19	-57.82	-61.21	-62.84	-59.8	-56.23	-53.02
33.44	-48.23	-50.37	-44.57	-47.31	-46.98	-48.28	-48.09	-48.83	-49.69	-52.68	-54.04	-57.19	-60.77	-63.07	-58.79	-56.32	-53.04
34.61	-48.15	-50.42	-44.64	-47.32	-46.87	-48.03	-48.28	-48.83	-49.86	-52.92	-54.23	-57.58	-60.48	-63.77	-59.09	-56.35	-53.4
35.79	-48.05	-50.63	-44.6	-47.25	-46.79	-48.29	-48.34	-48.71	-49.7	-52.71	-53.96	-57.24	-60.81	-63.03	-59.18	-55.65	-52.74
37.01	-48.05	-50.71	-44.58	-47.31	-46.71	-48.13	-48.23	-48.52	-49.7	-52.57	-53.67	-57.31	-60.93	-62.53	-59.71	-55.64	-52.91
38.18	-47.93	-50.58	-44.53	-47.1	-46.71	-48.25	-48.16	-48.59	-49.4	-52.66	-53.79	-57.07	-60.36	-63.94	-58.7	-55.93	-52.61
39.35	-47.92	-50.91	-44.59	-47.25	-46.56	-48.34	-48.24	-48.5	-49.76	-52.85	-53.58	-57.15	-60.71	-63.08	-59.39	-55.74	-52.43
40.54	-48.16	-51.15	-44.41	-47.26	-46.47	-48.35	-48.08	-48.37	-49.58	-52.74	-54.4	-56.66	-60.9	-63.41	-59.29	-55.28	-52.67
41.75	-48.08	-51.15	-44.56	-47.32	-46.6	-48.39	-48.02	-48.53	-49.68	-52.55	-54.01	-56.85	-61.68	-62.82	-58.01	-55.85	-52.9
42.92	-48.07	-51.22	-44.54	-47.4	-46.55	-48.53	-48.05	-48.41	-49.6	-52.53	-54.39	-56.79	-60.49	-63.15	-58.3	-55.97	-52.64
44.09	-47.94	-51.75	-44.61	-47.47	-46.66	-48.65	-47.85	-48.29	-49.89	-52.26	-54.01	-56.8	-61.3	-63.41	-58.7	-55.78	-52.68
45.27	-48.1	-51.9	-44.51	-47.61	-46.44	-48.52	-47.69	-48.46	-49.57	-52.1	-54.26	-56.83	-61.35	-62.98	-58.38	-56.21	-51.96
