X	2ГГц	3ГГц	4ГГц	5ГГц	6ГГц	7ГГц	8ГГц	9ГГц	10ГГц	11ГГц	12ГГц	13ГГц	14ГГц	15ГГц	16ГГц	17ГГц	18ГГц	
-45.03	-23.05	-126.83	-96.58	31.16	119.37	-122.85	-49.23	26.62	107.62	-150.22	-112.08	-12.47	82.98	126.5	-138.4	-73.1	59.75
-43.83	-20.71	-129.68	-91.29	19.94	121.12	-136.22	-72.79	26.53	92.19	-156.63	-124.47	-21.53	52.73	-174.8	176.72	-86.89	8.24
-42.68	-22.74	-139.06	-91.93	11.6	103.62	-147.1	-81.13	4.29	82.5	-164.41	-123.5	-18.42	-22.56	-128.11	-177.38	-99.98	5.02
-41.48	-23.2	-138.64	-90.14	4.05	106.4	-156.7	-88.35	-1.9	72.58	178.7	172.27	-33.75	1.16	142.97	116.75	-97.37	-0.83
-40.34	-20.11	-146.87	-87.24	2.14	105.91	-165.72	-104.41	-8.73	66.16	166.85	175.18	-63.58	-33.79	178.55	151.07	-143.03	-101.41
-39.17	-23.68	-151.87	-83.58	-6.35	95.7	-175.76	-111.38	-28.82	45.44	154.33	149.28	-76.08	-62.69	136.29	94.42	-6.06	-157.42
-38.01	-20.8	-149.51	-88.56	-11.05	89.6	-179.35	-125.61	-39.84	43.2	107.87	141.2	-103.57	-136.82	-21.51	27.02	140.06	158.32
-36.85	-15.5	-157.63	-89.49	-15.56	82.66	165.3	-146.39	-51.83	28.35	85.72	117.17	-129.87	-158.59	-112.98	-4.8	-20.23	140.71
-35.68	-15.72	-162.1	-90.41	-19.52	73.35	151.12	-151.73	-62.53	4.7	52.33	105.28	-173.76	136.64	-127.3	-56.15	20.31	105.21
-34.53	-10.83	-170.79	-93.91	-27.38	60.13	146.57	-171.28	-86.82	23.78	34.93	98.88	174.94	136.46	-123.01	-62.76	17.68	93.56
-33.37	-9.93	-173.6	-94.53	-31.05	59.08	132.62	174.81	-103.96	-43.77	16.43	70.94	124.44	81.03	-98.85	-89.94	-27.42	51.79
-32.21	-9	-179.15	-98.86	-39.13	43.13	125.87	155.13	-136.22	-29.89	-4.7	10.17	96.26	92.58	-127.88	-111.68	-44.06	61.44
-31.05	-3.01	176.18	-101.33	-45.23	31.88	110.35	140.49	-170.89	-126.87	-26.3	-14.34	62.8	78.49	-151.93	-138.45	-69.2	-21.02
-29.88	3.54	167.1	-106.83	-53.44	17.14	96.43	122.84	156.55	170.16	-52.18	-32	48.55	34.41	149.39	-166	-91.77	-65.78
-28.72	10.41	160.91	-111.78	-59.05	2.41	79.61	107.74	137.38	157.15	-79.65	-61.69	-10.89	13.87	133.39	169.2	-163.31	-118.18
-27.55	10.21	157.83	-115.79	-67.34	-9.16	58.46	82.01	107.88	130.37	-104.92	-87.7	-16.68	-17.82	45.93	144.48	153.86	-128.22
-26.39	14.34	147.36	-118.91	-73.72	-22.9	34.46	56.94	87.49	125.31	-137.46	-128.34	-57.98	-56.34	43.17	108.35	127.02	172.43
-25.23	18.55	141.23	-125.56	-79.29	-35.61	1.78	43.61	65.26	111.53	-160.33	-137.36	-82.91	-97.54	-2.81	51.97	103.86	147.66
-24.06	20.55	134.38	-130.35	-89.03	-52.31	-20.6	25.67	54.92	96.98	173.25	-174.6	-105.08	-116.28	-30.04	10.85	57.88	93.98
-22.87	22.12	125.59	-136.87	-95.43	-66.95	-33.8	0.69	40.22	82.05	145.81	172.06	-129.65	-141.02	-61.66	-66.33	23.92	45.67
-21.74	25.35	121.71	-142.27	-104.04	-82.51	-56.24	-7.28	25.86	60.66	125	124.91	-150.72	-162.07	-99.34	-70.94	-16.22	7.59
-20.57	26.77	113.59	-150.12	-114.01	-101.87	-75.06	-20.55	8.54	38.44	91.3	129.48	178.54	153.93	-150.41	-103.3	-61.39	-33.01
-19.41	27	108.68	-156.8	-124.74	-118.13	-90.27	-35.68	-13.15	14.35	69.17	83.99	153.62	120.91	-142.2	-131.03	-105.05	-66.06
-18.24	25.42	103.9	-162.28	-136.97	-129.73	-100.64	-51.53	-29.34	-16.35	39.93	58.16	131.69	92.89	163.59	-163.18	-138.34	-99.94
-17.08	26.14	96.88	-169.89	-147.65	-148.98	-117.53	-61.58	-50.12	-37.02	18.03	21.49	100.86	85.85	154.07	152.52	-155.66	-139.6
-15.9	24.26	94.54	-177.49	-166.57	-159.5	-132.47	-79.38	-71.65	-66.05	-8.38	13.43	76.46	49.43	96.78	119.76	167.09	-173.64
-14.73	20.24	82.63	174.88	176.11	-172.8	-143.14	-94.72	-91.8	-91.39	-34.83	-15.17	36.03	-0.39	71.33	97.23	118.89	159.98
-13.53	21.15	76.48	166.59	158.99	176.06	-161.44	-110.76	-111.61	-107.53	-58.27	-50.25	-0.11	-21.2	35.66	52.06	79.15	104.03
-12.38	18.9	74.16	157.58	136.73	161.29	-178.48	-131.82	-134.18	-126.8	-82.35	-75.35	-25.43	-73.37	-3.55	14.04	41.48	59.02
-11.18	16.13	65.28	151.72	122.62	150.19	168.69	-146.56	-160.36	-149.87	-107.36	-104.22	-66.67	-93.56	-13.34	-9.75	5.12	14.48
-10.05	15.84	60.72	139.92	108.28	136.74	152.1	-169.37	-178.65	-170.95	-128.72	-130.62	-85.58	-125.54	-59.77	-46.81	-42.79	-22.95
-8.87	13.19	55.99	129.19	91.67	123.94	133.41	170.62	156.23	165.98	-152.2	-155.29	-127.44	-159.69	-96.14	-84.65	-79.96	-64.65
-7.7	8.14	50.86	117.98	82.59	118.07	110.27	143.53	132.51	146.07	-178.29	169.11	-155.6	169.44	-129.65	-121.12	-117.95	-92.3
-6.53	6.33	42.59	103.83	68.43	102.68	88.47	118.75	120.37	120.81	152.43	139.13	165.12	156.23	-155.38	-159.87	-157.58	-146.2
-5.33	5.24	39.9	90.8	58.43	86.82	69.31	96.43	96.89	101.13	128.3	117.56	137.51	113.03	171.79	175.53	178.1	177.97
-4.19	2.77	32.96	77.69	45.58	77.12	47.37	75.52	78.27	73.03	101.42	92.91	111.83	86.97	131.36	133.42	136.61	136.19
-3.03	0.61	26.24	59.54	35.43	61.76	30.75	54.94	60.9	53.84	74.68	72.51	83.03	30.58	102.49	106.61	93.03	89.35
-1.84	0.05	17.47	43.82	21.87	51.78	11.34	37.34	41.01	31.33	49.49	48.63	51.08	21.99	53.93	69.41	65.43	48.27
-0.67	-3.33	14.39	30.44	8.06	31.77	1.19	16.95	26.44	-0.52	23.73	25.12	18.66	-21.95	29.87	31.07	13.47	12.27
0.49	-4.27	7.61	13.07	-2.51	15.32	-16.6	3.58	-0.6	-24.7	-4.62	-5.27	-3.45	-40.26	-18.19	-15.18	-28	-24.36
1.67	-10.34	1.17	3.83	-14.89	-4.2	-27.93	-13.86	-18.81	-53.49	-28.99	-28.8	-38.88	-69.79	-53.91	-49.8	-63.06	-75.69
2.83	-15.21	-12.45	-10.65	-31.14	-19.41	-41.95	-30.4	-43.44	-77.03	-56.71	-55.66	-68.91	-103.99	-83.27	-78.25	-102.85	-102.2
3.99	-14.3	-18.18	-21.28	-45.99	-39.21	-54.81	-48.16	-66.78	-100.28	-83.73	-84.78	-99.25	-120.89	-106.67	-116.79	-131.41	-145.45
5.19	-17.66	-25.72	-32.77	-58.07	-52.5	-71.87	-65.07	-86.37	-134.93	-108.34	-108.71	-128.25	-159.39	-159.44	-150.43	-175.31	171.09
6.35	-19.2	-34.95	-40.65	-72.68	-68.4	-85.31	-83.83	-116.51	-153.48	-126.72	-145.36	-161.26	158.77	159.74	-178.27	143.34	127.08
7.53	-20.28	-42.74	-52.91	-89.21	-84.57	-99.25	-101.97	-144.54	-171.84	-153.49	-173	172.62	117.13	125.01	134.28	103.23	84.15
8.73	-24.81	-50.91	-60.44	-102.3	-98.18	-110.1	-121.94	-165.83	168.35	-178.15	167.06	139.14	105.77	108.31	102.6	71.79	39.57
9.89	-24.96	-58.63	-70.76	-115.55	-112.3	-123.53	-140.5	175.03	135.62	154.26	142.43	106.16	72.75	44	74.52	37.65	-2.19
11.05	-23.73	-67.76	-80.49	-128.25	-129.11	-139.17	-157.41	150.17	117.22	127.53	112.91	75.04	50.7	23.1	42.28	-5.61	-49.46
12.22	-21.13	-75.59	-86.89	-143.18	-141.95	-148.73	-178.69	133.44	91.43	102.26	87.26	52.49	-1.26	1.01	-4.51	-58.87	-62.41
13.39	-26.56	-86.18	-96.21	-155.19	-152.16	-170.91	163.03	113.81	62.83	70.75	64.23	8.34	-37.47	-20.6	-43.13	-86.8	-116.83
14.59	-29.93	-89.85	-106.26	-167.02	-166.73	175.27	147.33	95.63	46.36	38.34	37.45	-14.45	-51.47	-74.34	-79.41	-135.14	-165.79
15.75	-25.19	-101.19	-115.87	179.72	178.37	146.86	124.12	79.14	13.73	14.07	8.79	-46.51	-78.26	-105.17	-100.98	-173.22	149.9
16.92	-26.95	-106.29	-122.73	169.06	167.54	108.6	109.05	59.94	-2.37	-8.76	-24.48	-73.59	-112.09	-162.37	-156.04	141.33	118.28
18.1	-28.64	-115.35	-131.56	158.08	154.08	46.4	94.28	47.47	-27.23	-42.96	-48.43	-103.13	-150.69	171.44	-174.53	111.49	64.7
19.28	-29.41	-123.51	-145.18	147.92	141.48	23.91	73.02	28.58	-45.3	-64.13	-58.69	-129.23	179.54	133.71	159.12	64.97	37.8
20.46	-29.93	-134.7	-150.07	134.89	128.15	-4.33	59.76	11.51	-71.42	-101.14	-117.72	-163.82	174.51	102.06	126.8	47	-1.07
21.64	-32.39	-140.42	-166.48	123.42	118.73	-23.25	35.44	-2.68	-81.81	-123.54	-173.68	176.56	130.54	70.81	91.77	15.06	-44.72
22.81	-31.82	-150.48	-173.1	118.89	92.99	-27.14	19.23	-24.48	-111.01	-149.66	-175.33	141.23	80.72	-10.22	63.33	-34.95	-89.36
23.99	-28.13	-154.42	172.76	109.85	84.61	-43.09	4.65	-38.87	-105.43	-173.08	148.8	97.17	59.4	0.86	-20.62	-63.87	-137.42
25.16	-32.87	-169.48	160.96	103.38	58.58	-54.23	-16.51	-56.5	-139	164.99	139.64	65.02	45.24	-65.41	-34.55	-127.95	-175.31
26.33	-36.45	-179.27	143	99.56	35.84	-70.02	-27.41	-77.35	-172.15	141.93	125.49	11.74	8.26	-86.14	-46.23	-149.77	149.9
27.52	-31.42	167.67	133.31	93.05	3.91	-81.83	-39.26	-98.26	162.41	119.52	101.94	2.52	-12.42	-86.28	-93.59	173.37	126.27
28.7	-20.81	160	122.12	88.4	-14.99	-88.46	-53.38	-122.49	131.72	103.71	89.95	-21.43	-41.87	-123.07	-111.74	145.83	85.76
29.87	-17.44	152.31	112.93	84.7	-37.49	-97.08	-69.39	-148.51	119.65	81.52	70.55	-63.12	-101.27	-146.83	166.72	76.87	60.89
31.07	-2.45	140.91	105.77	80.96	-53.89	-106.18	-81.44	-170.58	72.67	54.05	-8.94	-86.04	-109.59	168.49	169.82	79.35	23.27
32.27	5.42	132.64	96.97	77.99	-63.84	-116.17	-89.82	157.58	53.81	33.7	69.07	-122.29	-63.96	163.96	77.87	48.31	-26.96
